Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C19, C9",0805,4,10uF,C2167271
"C10, C12, C13, C14, C15, C16, C17, C18, C2, C20, C25, C28, C3, C4, C5, C6, C8",0603,17,100nF,C2181816
"C21, C22, C23, C24, C7",0603,5,1uF,C561804
"C26, C27",0603,2,4pF,C309461
"D1, D2",1206,2,IR26-21C_L110_TR8,C73929
"D3, D4",SOT-23-5,2,ESDA6V1SC5,C2935146
J1,RJ45_Pulse_JXD6-0001NL_Horizontal,1,RJ45_Pulse_JXD6-0001NL,C5359047
J2,PinSocket_2x20_P2.54mm_Vertical,1,2.54mm 2*20P直排针,C50980
J3,CON14_2X7_DUK_FTSH_SAI,1,FTSH-107-01-L-DV-K-P,C5345538
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C-31-M-12,C165948
"R1, R2, R53",0603,3,4.7k,C99782
"R10, R11, R14, R15, R18, R20, R24, R27, R30, R36, R37, R38, R41, R42, R43, R7",0603,16,2.2k,C113303
"R22, R23, R25, R26, R31, R32, R33, R34",0603,8,50,C849792
R35,0603,1,4.87k,C137709
"R39, R40, R50, R51, R52",0603,5,220,C107696
R44,0603,1,100,C105588
"R45, R46, R49, R54, R55, R56, R57, R58, R59, R60, R8, R9",0603,12,0,C95177
"R47, R48",0603,2,5.1k,C14677
R5,0603,1,1.5k,C114668
SW1,SW_SPST_TL3342,1,TS-1187A-B-A-B,C318884
SW5,SWDIP8_300X185P100,1,1825360-3,C574798
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F107RBT6,C16918
U2,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,DP83848I,C12082
U3,SOT-23-6,1,USBLC6-2SC6,C7519
"U4, U6",SOT_30M33R_STM,2,ST730M33R,C2846046
Y2,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,ABM8G-25.000MHZ-B4Y-T,C596913
