Designator,Mid X,Mid Y,Rotation,Layer
C1,196.215,-140.462,270.0,bottom
C10,201.93,-103.632,90.0,top
C11,206.2988,-108.392,90.0,bottom
C12,208.1784,-108.5218,90.0,bottom
C13,211.9884,-114.8464,270.0,bottom
C14,199.0598,-108.8898,90.0,top
C15,215.138,-108.077,180.0,top
C16,215.2142,-117.6274,180.0,top
C17,222.123,-110.363,90.0,top
C18,222.123,-118.237,270.0,top
C19,203.962,-103.632,90.0,top
C2,191.389,-141.224,0.0,bottom
C20,211.8868,-108.458,90.0,bottom
C21,208.788,-135.89,0.0,bottom
C22,204.851,-135.89,180.0,bottom
C23,228.346,-133.096,90.0,bottom
C24,227.33,-128.27,180.0,bottom
C25,161.925,-126.111,0.0,top
C26,176.5046,-128.7526,90.0,top
C27,173.5582,-132.9182,0.0,top
C28,199.136,-115.824,90.0,top
C3,178.054,-126.111,90.0,top
C4,182.118,-124.079,180.0,bottom
C5,194.183,-127.127,270.0,bottom
C6,180.848,-140.462,0.0,bottom
C7,176.53,-136.779,270.0,top
C8,178.181,-136.398,270.0,top
C9,210.1596,-108.5088,90.0,bottom
D1,234.315,-133.477,90.0,top
D2,239.522,-133.477,90.0,top
D3,172.339,-102.489,270.0,top
D4,162.306,-110.744,180.0,top
J1,237.675,-114.335,0.0,top
J2,182.499,-160.401,90.0,top
J3,164.973,-102.743,270.0,top
J4,224.242616,-164.301,0.0,top
R1,161.988,-129.794,180.0,bottom
R10,210.693,-122.81,90.0,top
R11,190.691,-106.807,0.0,top
R14,190.754,-116.078,0.0,top
R15,190.754,-111.506,0.0,top
R18,190.754,-109.922,0.0,top
R2,165.481,-138.557,180.0,bottom
R20,190.754,-119.126,0.0,top
R22,184.912,-111.506,0.0,top
R23,184.912,-116.078,0.0,top
R24,190.754,-122.174,0.0,top
R25,196.596,-120.904,90.0,top
R26,190.627,-102.108,0.0,top
R27,190.627,-100.584,0.0,top
R30,209.169,-122.873,90.0,top
R31,215.1888,-113.7158,180.0,top
R32,215.2264,-115.7986,0.0,top
R33,215.1888,-109.8042,180.0,top
R34,215.202,-111.9378,0.0,top
R35,214.4776,-105.0036,180.0,top
R36,214.7824,-114.046,180.0,bottom
R37,214.7062,-112.3442,180.0,bottom
R38,190.627,-103.759,0.0,top
R39,222.123,-123.063,90.0,top
R40,220.853,-106.807,0.0,top
R41,216.789,-102.235,270.0,top
R42,213.36,-100.33,270.0,top
R43,219.202,-121.285,90.0,top
R44,159.131,-106.426,90.0,top
R45,199.898,-103.632,270.0,top
R46,214.63,-110.617,0.0,bottom
R47,229.195616,-156.427,180.0,bottom
R48,219.035616,-156.554,0.0,bottom
R49,223.277416,-151.9913,90.0,top
R5,206.756,-100.203,180.0,top
R50,234.315,-129.032,270.0,top
R51,239.522,-129.032,270.0,top
R52,161.925,-127.635,0.0,top
R53,201.041,-141.224,90.0,bottom
R54,225.207816,-151.9913,90.0,top
R55,167.132,-109.728,180.0,top
R56,167.259,-111.887,180.0,top
R57,177.292,-131.064,0.0,top
R58,248.412,-124.841,90.0,top
R59,248.412,-103.886,270.0,top
R60,196.469,-132.207,0.0,top
R7,209.804,-100.203,180.0,top
R8,196.596,-136.906,0.0,top
R9,196.596,-135.382,0.0,top
SW1,158.623,-120.523,90.0,top
SW5,167.386,-146.177,90.0,top
U1,186.309,-132.461,270.0,top
U2,205.5876,-112.522,0.0,top
U3,224.242616,-156.2585,270.0,top
U4,225.1456,-131.191,0.0,bottom
U6,206.883,-138.938,270.0,bottom
Y2,173.228,-130.34,180.0,top
